姓名,出生日期(xxxx年x月x日),性别,籍贯(至少精确到市或县，标注经纬度),,所在单位(标注经纬度),,专业
周永茂,1931年5月15日,男,浙江省宁波市镇海区,"(29.995449382446232, 121.61663045279363)",中国中原对外工程有限公司,"(34.77947429320538, 113.55728142478681)",核反应堆工程专家
周世宁,1934年1月12日,男,江苏扬州市,"(32.40850525456844, 119.42777755116975)",中国矿业大学,"(38.520592848923066, 106.16136336953299)",矿山瓦斯防治专家
杜彦良,1956年10月16日,男,河北省石家庄市,"(38.048958314615454, 114.52208184420766)",石家庄铁道大学,"(38.090082089720774, 114.5152506574994)",大型工程结构状态监测与安全控制专家
崔_,1957年8月13日,男,北京市,"(39.92998577808024, 116.39564503787867)",中国建筑设计研究院,"(39.93850599985744, 116.34491965708705)",建筑学家
崔俊芝,1938年7月12日,男,河南省新乡市,"(35.3072575576613, 113.91269016082377)",中国科学院数学与系统科学研究院,"(39.99080058481983, 116.33922448010298)",计算数学、计算力学与软件工程专家
陈政清,1947年10月28日,男,湖南省邵东县,"(27.1936536894769, 111.85672034136176)",湖南大学,"(28.184742991251174, 112.95248078590504)",工程力学专家
李华军,1962年2月25日,男,山东省广饶县,"(37.162071119183594, 118.538569311961)",中国海洋大学,"(40.66398330016296, 109.82462314598851)",海洋工程安全专家
邓铭江,1960年6月18日,男,新疆库尔勒,"(41.705499905673676, 85.70941760173511)",新疆科协、额河建管局,"(43.84066039627524, 87.58405247895405)",干旱区水资源及水利工程专家
孔宪京,1952年1月4日,男,江苏省南京市,"(32.05723550180587, 118.77807440802562)",大连理工大学,"(38.88845504967863, 121.6698020395988)",水工结构专家
江亿,1952年4月25日,男,北京市,"(39.92998577808024, 116.39564503787867)",清华大学,"(40.00864488780562, 116.33375156995295)",建筑环境工程专家
缪昌文,1957年8月19日,男,江苏姜堰,"(32.532466165693975, 120.06704535318768)",江苏省建筑科学研究院有限公司,"(31.306504817606836, 120.60973982423629)",建筑材料专家
孟建民,1958年2月7日,男,江苏徐州,"(34.27155343109188, 117.18810662317686)",深圳市建筑设计研究总院有限公司,"(22.55073877662108, 114.10123620817802)",建筑学家
马洪琪,1942年8月23日,男,上海市,"(31.24916171001514, 121.48789948569473)",云南澜沧江水电开发有限公司,"(24.853658866841272, 99.82700834554217)",水利水电施工专家
马国馨,1942年2月28日,男,山东省济南市,"(36.68278472716141, 117.02496706629023)",北京市建筑设计研究院,"(39.91475436347559, 116.35945494091679)",建筑学家
刘先林,1939年4月19日,男,河北省无极县,"(38.18328602020015, 114.95113960112629)",中国测绘科学研究院,"(39.909712646155725, 116.26775909805296)",摄影测量与遥感专家
王建国,1957年7月23日,男,江苏省常州市,"(31.771396744684242, 119.98186101345706)",东南大学城市设计研究所,"(23.494386671660774, 116.51093198121578)",建筑学家
王复明,1957年3月1日,男,河南沈丘县,"(33.29514993229346, 115.17871821126784)",重大基础设施检测修复技术国家地方联合工程实验室,"(30.296798151953844, 120.17368337544674)",土木工程专家
张超然,1940年8月23日,男,浙江省温州市,"(28.002837594041246, 120.6906347337091)",中国长江三峡集团公司,"(39.9167195929325, 116.33834839777302)",张超然水利水电工程专家
岳清瑞,1962年1月2日,男,黑龙江省齐齐哈尔市,"(47.34769981336638, 123.9872889421725)",中冶建筑研究总院有限公司,"(39.96669322761557, 116.35802769695304)",工程结构专家
王浩,1963年10月1日,男,北京市,"(39.92998577808024, 116.39564503787867)",中国水科院水资源所,"(23.151373192218077, 113.3395906478036)",水文学及水资源学家
杨永斌,1954年8月22日,男,福建金门,"(26.050118295660656, 117.98494311990738)",重庆大学土木学院,"(29.57078101532597, 106.47541107674738)",结构工程与力学专家
杨秀敏,1942年6月5日,男,河北青县,"(38.56577832855556, 116.85123400251861)",中国科技大学,"(31.129702508932258, 121.55235667891878)",防护工程专家
董石麟,1932年12月10日,男,浙江省杭州市,"(30.259244461536102, 120.2193754157201)",浙江大学,"(29.896502974160494, 121.64415166666014)",空间结构专家
程泰宁,1935年12月9日,男,江苏省南京市,"(32.05723550180587, 118.77807440802562)",东南大学,"(32.06252933589934, 118.80499856090633)",建筑学专家
陈肇元,1931年10月1日,男,浙江省宁波市,"(29.885258965918055, 121.57900597258933)",清华大学,"(40.00864488780562, 116.33375156995295)",土木结构工程和防护工程专家
陈厚群,1932年5月3日,男,江苏省无锡,"(31.57003745192303, 120.30545590053595)",中国水利水电科学研究院,"(39.93648860044943, 116.3290521987623)",水工结构专家
关肇邺,1929年10月4日,男,北京市,"(39.92998577808024, 116.39564503787867)",清华大学建筑学院,"(40.005219893701586, 116.33963865284142)",建筑学家
葛修润,1934年7月12日,男,上海市,"(31.24916171001514, 121.48789948569473)",中国科学院武汉岩土力学研究所,"(30.544474122769024, 114.355627180667)",岩土力学专家
傅熹年,1933年1月2日,男,四川省江安县,"(28.66353260091709, 105.12877827716608)",中国建筑设计研究院,"(39.93850599985744, 116.34491965708705)",建筑历史学家
孟兆祯,1932年9月13日,男,湖北省武汉市,"(30.58108412692075, 114.31620010268132)",北京林业大学,"(40.01132070583052, 116.3541342459405)",风景园林规划与设计教育家
茆智,1932年9月20日,男,江苏省南京市,"(32.05723550180587, 118.77807440802562)",武汉大学水利水电学院,"(30.549032864395365, 114.36866931904417)",节水灌溉工程专家
韩其为,1933年11月2日,男,湖北省松滋县,"(30.105224314496386, 111.69620454012002)",水利水电科学研究院,"(37.873064227387815, 112.54828722998826)",泥沙（运动）与河床演变（水库淤积）专家
